"","repo_name","t03","t04","t05","t06","t07","t08","t09","t10","t11","t12","t13","t14"
"1","3akai-ux",128,135,141,147,148,162,168,169,173,177,184,186
"13","960-Grid-System",184,187,189,196,206,212,216,227,236,250,262,265
"25","AFNetworking",280,343,394,435,499,566,659,763,888,983,1101,1120
"37","AQGridView",219,236,253,271,283,297,316,323,340,354,373,376
"49","ActionBarSherlock",193,228,293,359,438,512,595,678,777,913,1048,1063
"61","AppSales-Mobile",188,195,204,212,218,222,230,237,245,254,267,272
"73","Arduino",179,200,230,256,281,307,324,349,396,453,508,514
"85","Aristo-jQuery-UI-Theme",119,121,123,132,134,135,136,139,142,145,149,149
"97","AutoMapper",135,142,156,165,182,195,209,219,228,237,247,247
"109","Bonfire",171,184,194,206,218,225,238,257,269,280,293,298
"121","BrowserQuest",302,413,444,471,517,550,571,589,615,652,669,673
"133","Bukkit",440,457,474,493,507,556,574,599,621,664,684,688
"145","CSS1K",259,260,256,257,251,246,247,249,248,248,250,250
"157","Catacomb-Snatch",141,141,142,140,140,139,136,131,131,132,133,134
"169","Cinder",156,158,165,170,170,179,183,193,203,215,218,220
"181","CodeIgniter",763,838,929,1028,1168,1262,1353,1443,1544,1714,1888,1891
"193","CodeIgniter-Ion-Auth",127,140,152,163,173,191,204,226,245,258,275,279
"205","CodeMirror2",174,208,242,272,311,322,NA,NA,NA,NA,14,14
"213","CouchPotato",159,166,171,178,188,194,199,202,204,203,201,201
"225","CraftBukkit",550,571,596,627,641,714,743,785,820,891,926,927
"237","DTCoreText",121,133,143,154,164,177,186,200,218,235,258,262
"249","Dancer",132,138,141,144,146,151,155,159,164,166,168,168
"261","DoctrineExtensions",122,130,143,161,176,187,197,211,227,238,258,260
"273","EaselJS",143,168,180,207,224,253,281,312,344,376,416,417
"285","Email-Blueprints",332,368,413,452,485,531,575,634,695,770,839,852
"297","Essentials",111,128,145,173,191,205,225,240,251,264,275,279
"309","Font-Awesome",149,205,253,378,469,549,620,689,765,878,1062,1091
"321","GMGridView",117,143,182,211,235,259,279,300,318,334,359,361
"333","Garden",156,161,167,169,174,180,184,184,183,186,196,198
"345","GreenDroid",192,207,228,245,259,278,290,301,316,330,352,357
"357","Hello-World",129,154,184,219,253,275,297,310,327,348,409,418
"369","InAppSettingsKit",139,142,155,161,167,178,185,197,217,226,238,240
"381","JSON-java",113,134,146,164,187,219,236,255,284,306,353,363
"393","JSON-js",203,215,275,324,400,498,593,667,739,840,999,1021
"405","JSONKit",211,229,250,283,306,351,385,429,469,513,568,575
"417","Leaflet",229,264,311,350,394,424,465,505,553,601,651,652
"429","Lettering.js",118,121,128,132,142,152,167,179,193,197,212,212
"441","Locker",123,126,130,130,130,130,131,132,133,134,134,134
"453","MBProgressHUD",271,313,346,381,418,476,532,577,639,707,751,754
"465","MGTwitterEngine",135,135,138,143,151,153,155,157,158,158,165,165
"477","MWFeedParser",113,122,139,157,165,177,195,202,215,233,257,263
"489","MagicalRecord",129,150,163,178,215,229,253,277,312,329,366,369
"501","Minecraft-Overviewer",113,115,123,125,130,132,134,140,139,140,149,150
"513","Modernizr",403,441,478,523,554,604,632,678,740,779,833,843
"525","Nancy",196,208,210,225,239,251,258,270,272,281,295,295
"537","PhotoSwipe",114,120,142,170,177,182,209,221,236,250,268,270
"549","Play20",257,318,370,413,445,490,529,580,625,681,733,740
"561","PullToRefresh",135,141,148,160,166,173,184,189,197,207,218,218
"573","QuadCurveMenu",186,192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"575","QuickDialog",110,121,146,163,181,207,220,236,262,302,330,336
"587","Respond",155,173,201,235,274,312,350,401,434,476,534,550
"599","RestKit",376,420,467,505,562,619,676,725,781,823,884,886
"611","RestSharp",157,181,195,204,216,232,244,256,276,292,302,305
"623","SDWebImage",159,176,206,232,276,312,345,397,444,508,559,563
"635","ShareKit",319,324,349,360,362,369,372,382,410,444,475,478
"647","Sick-Beard",486,521,552,561,593,612,645,703,751,808,869,877
"659","SignalR",157,172,212,249,294,336,371,399,440,480,525,531
"671","Silex",144,157,169,189,205,221,237,246,262,262,285,287
